Pub Date,Headline,Snippet,Lead Paragraph,abstract,Source,Web URL
2021-01-10T00:46:48+0000,"Amazon, Apple and Google Cut Off Parler, an App That Drew Trump Supporters","The companies pulled support for the “free speech” social network, all but killing the service just as many conservatives are seeking alternatives to Facebook and Twitter.","Parler, a social network that pitches itself as a “free speech” alternative to Twitter and Facebook, is suffering from whiplash.","The companies pulled support for the “free speech” social network, all but killing the service just as many conservatives are seeking alternatives to Facebook and Twitter.",The New York Times,https://www.nytimes.com/2021/01/09/technology/apple-google-parler.html
2021-01-09T01:05:29+0000,"Parler Pitched Itself as Twitter Without Rules. Not Anymore, Apple and Google Said.","Google and Apple told Parler, a social network popular with far-right conservatives, that it must better police its users if it wants a place in their app stores.","Parler is one of the hottest apps in the world, a social network that has attracted millions of far-right conservatives over the past year with its hands-off approach to policing users’ posts. And with the news that President Trump had been kicked off Twitter and Facebook, Parler was the odds-on bet to be his next soapbox.","Google and Apple told Parler, a social network popular with far-right conservatives, that it must better police its users if it wants a place in their app stores.",The New York Times,https://www.nytimes.com/2021/01/08/technology/parler-apple-google.html
2021-01-07T16:38:09+0000,"‘Dickinson’ Is an Offbeat Literary Origin Story, Written in Fire","In the eerie, gleefully absurdist second season, the young poet ponders whether it’s better to be Nobody.","In 2019 the new streaming service Apple TV+ released a trailer for “Dickinson,” which framed the story of the enigmatic 19th-century American poet as a contemporary young-adult melodrama, complete with power ballad soundtrack and conspicuous employment of the honorific “Dude.” The series looked ridiculous. Naturally, I had to watch it.","In the eerie, gleefully absurdist second season, the young poet ponders whether it’s better to be Nobody.",The New York Times,https://www.nytimes.com/2021/01/07/arts/television/dickinson-review.html
2021-01-06T10:00:10+0000,The Tech That Will Invade Our Lives in 2021,Spoiler: We’re looking at another year of internet services dominating many aspects of our lives.,"This year, the technologies that we will most likely hear the most about won’t be fancy devices like smartphones or big-screen television sets. It will be the stuff we don’t usually see: workhorse software and internet products that are finding their moment now.",Spoiler: We’re looking at another year of internet services dominating many aspects of our lives.,The New York Times,https://www.nytimes.com/2021/01/06/technology/personaltech/tech-2021-augmented-reality-chatbots-wifi.html
2021-01-06T01:46:33+0000,Hong Kong Police Arrest Dozens of Pro-Democracy Leaders,The 53 officials and activists were detained under the national security law for their efforts to choose candidates to run in the city’s legislative elections.,"HONG KONG — The Hong Kong police arrested 53 elected pro-democracy officials and activists early Wednesday for their involvement in an informal primary election, the largest roundup yet under the new national security law imposed by Beijing to quash dissent.",The 53 officials and activists were detained under the national security law for their efforts to choose candidates to run in the city’s legislative elections.,The New York Times,https://www.nytimes.com/2021/01/05/world/asia/hong-kong-arrests-national-security-law.html
2021-01-10T03:15:18+0000,"Apple, Google and Amazon kick Parler off their platforms",Apple and Google said they would remove Parler from its App Stores. Amazon said it would no longer host Parler on its web hosting service.,Apple and Google said they would remove Parler from its App Stores. Amazon said it would no longer host Parler on its web hosting service.,Apple and Google said they would remove Parler from its App Stores. Amazon said it would no longer host Parler on its web hosting service.,The New York Times,https://www.nytimes.com/interactive/2021/01/09/us/parler-amazon-apple-google-responses.html
2021-01-05T10:00:01+0000,When the Hand That Rocks the Cradle Is Suspicious of the Baby Inside,"Ashley Audrain’s dark family drama, “The Push,” explores trauma across generations.",THE PUSHBy Ashley Audrain,"Ashley Audrain’s dark family drama, “The Push,” explores trauma across generations.",The New York Times,https://www.nytimes.com/2021/01/05/books/review/the-push-ashley-audrain.html
2021-01-07T10:00:19+0000,"If You Were on Parler, You Saw the Mob Coming","It is a go-to social media site for the right, with users calling to “burn D.C. to the ground.” The C.E.O., John Matze, says it’s not his job to police speech.","Update: Jan. 11, 2021","It is a go-to social media site for the right, with users calling to “burn D.C. to the ground.” The C.E.O., John Matze, says it’s not his job to police speech.",The New York Times,https://www.nytimes.com/2021/01/07/opinion/sway-kara-swisher-john-matze.html
2021-01-06T17:41:51+0000,A Lesson in Tech Survival,The success of a computer chip maker points to a path for companies like Google and Facebook.,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,The success of a computer chip maker points to a path for companies like Google and Facebook.,The New York Times,https://www.nytimes.com/2021/01/06/technology/lessons-from-qualcomm.html
2021-01-10T04:43:08+0000,Let Down by ‘Wonder Woman 1984’? Here are 6 Great Superhero Movies,"The Wonder Woman sequel received mixed reviews. But there are plenty of excellent and entertaining alternatives to stream, and many that never received the attention they deserve.","Last month, Warner Bros. released the coronavirus-delayed “Wonder Woman 1984,” a sequel to the 2017 hit “Wonder Woman.” The action-adventure movie has done relatively well at the box office (in places where theaters are open), even though it’s also available for a limited time on the streaming service HBO Max. But compared with the enthusiastic response to the first “Wonder Woman” movie, the sequel has drawn a mixed reaction, with some critics and comic book fans complaining about the film’s unlikely plot and lengthy running time.","The Wonder Woman sequel received mixed reviews. But there are plenty of excellent and entertaining alternatives to stream, and many that never received the attention they deserve.",The New York Times,https://www.nytimes.com/2021/01/09/at-home/superhero-movies.html
2021-01-13T14:00:15+0000,4 Ways to Do More With Your Smartphone Camera,"If you are still using your phone’s camera only for selfies and quick videos, you’re barely touching its potential.","Even if you don’t have the latest and greatest smartphone, the tools for your photography can go beyond the more commonly used ones like the portrait and lowlight modes. With a reasonably up-to-date operating system, you can have voice-activated photo sessions, create wide-screen images, record video at different playback speeds and visually search the internet.","If you are still using your phone’s camera only for selfies and quick videos, you’re barely touching its potential.",The New York Times,https://www.nytimes.com/2021/01/13/technology/personaltech/smartphone-camera-do-more.html
2021-01-11T00:26:44+0000,"How Parler, a Chosen App of Trump Fans, Became a Test of Free Speech",The app has renewed a debate about who holds power over online speech after the tech giants yanked their support for it and left it fighting for survival. Parler went dark early on Monday.,"From the start, John Matze had positioned Parler as a “free speech” social network where people could mostly say whatever they wanted. It was a bet that had recently paid off big as millions of President Trump’s supporters, fed up with what they deemed censorship on Facebook and Twitter, flocked to Parler instead.",The app has renewed a debate about who holds power over online speech after the tech giants yanked their support for it and left it fighting for survival. Parler went dark early on Monday.,The New York Times,https://www.nytimes.com/2021/01/10/technology/parler-app-trump-free-speech.html
2021-01-17T04:20:07+0000,Six Great Movies About Presidents,"If you’re looking for some escapism, these films are a good reminder that democracy works.","When a new president is inaugurated, it’s traditionally an occasion for pageantry and pomp, showcasing the splendor of Washington and reminding the country and the world of the United States’ democratic promise: that power ultimately rests in the will of the people. As we head into these ceremonies next week, it’s a good time to let these movies remind us that the mechanisms of American politics and the institution of the presidency — at their best and worst — have endured for centuries.","If you’re looking for some escapism, these films are a good reminder that democracy works.",The New York Times,https://www.nytimes.com/2021/01/16/at-home/six-movies-about-presidents.html
2021-01-14T01:02:35+0000,Connecticut is investigating Amazon’s practices in the e-books market.,,Connecticut’s top law enforcement official said on Wednesday that he was conducting an antitrust investigation into how Amazon runs its e-books business.,Connecticut’s top law enforcement official said on Wednesday that he was conducting an antitrust investigation into how Amazon runs its e-books business.,The New York Times,https://www.nytimes.com/2021/01/13/technology/connecticut-investigation-amazon-ebooks-antitrust.html
2021-01-14T00:00:00+0000,What You Need to Know Before Buying Refurbished,"Finding a good deal is harder than it looks: Even when the discount seems steep, you’re usually left wondering if what you’ve unearthed is truly an excellent deal or just a dud wrapped in overhyped sales lingo. Price drops on refurbished gear—gent...","Finding a good deal is harder than it looks: Even when the discount seems steep, you’re usually left wondering if what you’ve unearthed is truly an excellent deal or just a dud wrapped in overhyped sales lingo. Price drops on refurbished gear—gently used tech and appliances that are resold following a manufacturer tune-up—only complicate the...","Finding a good deal is harder than it looks: Even when the discount seems steep, you’re usually left wondering if what you’ve unearthed is truly an excellent deal or just a dud wrapped in overhyped sales lingo. Price drops on refurbished gear—gently used tech and appliances that are resold following a manufacturer tune-up—only complicate the...",Wirecutter,https://www.nytimes.com/wirecutter/money/buying-refurbished-products/
2021-01-15T18:20:24+0000,When Tech Antitrust Failed,How did a case meant to lower prices instead possibly lead to higher prices?,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,How did a case meant to lower prices instead possibly lead to higher prices?,The New York Times,https://www.nytimes.com/2021/01/15/technology/when-tech-antitrust-failed.html
2021-01-11T12:36:39+0000,How big tech companies responded to the storming of the Capitol.,,"In the hours and days after a mob of President Trump’s loyalists stormed the Capitol, the nation’s biggest tech companies began to shut down accounts that helped incite the rampage. In the days and weeks before the attack, President Trump had used his Twitter feed and Facebook page to spread the lie that he had won the November election. It was that falsehood that helped drive the mob to the Capitol last Wednesday after a speech by the president.","In the hours and days after a mob of President Trump’s loyalists stormed the Capitol, the nation’s biggest tech companies began to shut down accounts that helped incite the rampage. In the days and weeks before the attack, President Trump had used his Twitter feed and Facebook page to spread the lie that he had won the November election. It was that falsehood that helped drive the mob to the Capitol last Wednesday after a speech by the president.",The New York Times,https://www.nytimes.com/2021/01/11/business/how-big-tech-companies-responded-to-the-storming-of-the-capitol.html
2021-01-11T18:23:39+0000,Who Should Make the Online Rules?,A handful of unelected tech executives have tremendous influence on public discourse. Is that right?,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,A handful of unelected tech executives have tremendous influence on public discourse. Is that right?,The New York Times,https://www.nytimes.com/2021/01/11/technology/twitter-facebook-parler-rules.html
2021-01-13T11:00:06+0000,Is More Violence Coming?,"Social media platforms have raced to bar organizers of the attack on the Capitol. Will that make a repeat less likely, or just harder to prevent?","After the attack on the Capitol, social media platforms sprang into action. On Facebook and Twitter, accounts — including President Trump’s — were suspended and the pages of whole groups were taken down. Parler, a fringe platform that had become popular among Trump fans, was pulled by Amazon.","Social media platforms have raced to bar organizers of the attack on the Capitol. Will that make a repeat less likely, or just harder to prevent?",The New York Times,https://www.nytimes.com/2021/01/13/podcasts/the-daily/capitol-attack-social-media-parler-twitter-facebook.html
