Pub Date,Headline,Snippet,Lead Paragraph,abstract,Source,Web URL
2020-01-07T20:27:26+0000,F.B.I. Asks Apple to Help Unlock Two iPhones,The request could reignite a fight between the Silicon Valley giant and law enforcement over access to encrypted technology.,SAN FRANCISCO — The encryption debate between Apple and the F.B.I. might have found its new test case.,The request could reignite a fight between the Silicon Valley giant and law enforcement over access to encrypted technology.,The New York Times,https://www.nytimes.com/2020/01/07/technology/apple-fbi-iphone-encryption.html
2020-01-02T18:45:08+0000,Apple Deal Returns Former HBO Boss Richard Plepler to Spotlight,"Ten months after he chafed under AT&T’s takeover of the network, he reboots himself as a producer in a five-year deal with Apple TV Plus.","In the 10 months since Richard Plepler stepped down as HBO’s chief executive, the final season of “Game of Thrones” came and went, CBS and Viacom merged, and Disney and Apple rolled out new streaming services.","Ten months after he chafed under AT&T’s takeover of the network, he reboots himself as a producer in a five-year deal with Apple TV Plus.",The New York Times,https://www.nytimes.com/2020/01/02/business/media/richard-plepler-apple.html
2020-01-02T17:06:45+0000,"The Best Movies and TV Shows Coming to Netflix, Apple TV Plus and More in January","Every month, subscription streaming services add a new batch of titles to their libraries. Here are our picks for January.","For more recommendations on what to stream, sign up for our twice-weekly Watching newsletter here.","Every month, subscription streaming services add a new batch of titles to their libraries. Here are our picks for January.",The New York Times,https://www.nytimes.com/2020/01/02/arts/television/new-to-stream-netflix.html
2020-01-07T20:00:05+0000,Why You Should Take a Close Look at What Tracks You,It might help you manage your privacy.,"This article is part of a limited-run newsletter. You can sign up here. Charlie Warzel is off this week, so he’s turning the newsletter over to his colleague Thorin Klosowski. ",It might help you manage your privacy.,The New York Times,https://www.nytimes.com/2020/01/07/opinion/location-tracking-privacy.html
2020-01-05T17:00:09+0000,‘Once Upon a Time … in Hollywood’ and ‘1917’ Win Top Awards at Golden Globes,"Renée Zellweger and Joaquin Phoenix won the lead acting prizes for film, while “Fleabag” and “Succession” each took home two TV awards.","BEVERLY HILLS, Calif. — In a night of major upsets, “Once Upon a Time … in Hollywood,” Quentin Tarantino’s ode to late 1960s-era Los Angeles, emerged as the big winner at the 77th Golden Globe Awards on Sunday, taking home trophies for best musical or comedy, screenplay and supporting actor.","Renée Zellweger and Joaquin Phoenix won the lead acting prizes for film, while “Fleabag” and “Succession” each took home two TV awards.",The New York Times,https://www.nytimes.com/2020/01/05/movies/golden-globes.html
2020-01-05T08:00:11+0000,Silicon Valley’s Newest Rival: The Banks of the Hudson,"Amazon, Apple, Facebook and Google will soon have 20,000 workers in New York City, many in offices on the West Side.","When Facebook was searching for another New York office, one big enough to fit as many as 6,000 workers, more than double the number it currently employs in the city, it had one major demand: It needed the space urgently.","Amazon, Apple, Facebook and Google will soon have 20,000 workers in New York City, many in offices on the West Side.",The New York Times,https://www.nytimes.com/2020/01/05/nyregion/nyc-tech-facebook-amazon-google.html
2020-01-03T14:00:13+0000,The Week in Tech: Our Hidden Gems of 2019,The best stories that you might have missed.,"Each week, we review the week’s news, offering analysis about the most important developments in the tech industry.",The best stories that you might have missed.,The New York Times,https://www.nytimes.com/2020/01/03/business/tech-hidden-gems-2019.html
2020-01-01T10:00:16+0000,The Tech That Will Invade Our Lives in 2020,"From smart homes to ultrafast wireless speeds, here’s what to watch.",The 2010s made one thing clear: Tech is everywhere in life.,"From smart homes to ultrafast wireless speeds, here’s what to watch.",The New York Times,https://www.nytimes.com/2020/01/01/technology/personaltech/tech-trends-2020.html
2020-01-09T17:59:11+0000,"Peak TV Hits a New Peak, With 532 Scripted Shows","The number of original series continued to swell in 2019, with Apple and Disney adding to the glut. When will the bubble pop?","It has been on a steep upward trajectory for years, and in 2019, it finally happened.","The number of original series continued to swell in 2019, with Apple and Disney adding to the glut. When will the bubble pop?",The New York Times,https://www.nytimes.com/2020/01/09/business/media/tv-shows-2020.html
2020-01-10T03:00:06+0000,The ‘I’ in I.M. Pei,Brendan Emmett Quigley takes us into our solving weekend.,"FRIDAY PUZZLE — A quick one today, as I am desperately trying to carve out time to work on some other Wordplay goodies that you may see this year.",Brendan Emmett Quigley takes us into our solving weekend.,The New York Times,https://www.nytimes.com/2020/01/09/crosswords/daily-puzzle-2020-01-10.html
2020-01-17T14:00:07+0000,Does the F.B.I. Need Apple to Hack Into iPhones?,There are tools to crack into the phones at the center of a new dispute over encryption. But the F.BI. says it still needs Apple’s aid.,"Each week, we review the week’s news, offering analysis about the most important developments in the tech industry.",There are tools to crack into the phones at the center of a new dispute over encryption. But the F.BI. says it still needs Apple’s aid.,The New York Times,https://www.nytimes.com/2020/01/17/technology/fbi-iphones.html
2020-01-16T23:16:27+0000,"Delayed by Abuse Claim, Apple’s ‘The Banker’ Gets New Release Date","The film, starring Samuel L. Jackson and Anthony Mackie, was withdrawn after a producer, a son of one of its protagonists, was accused of sexual misconduct.","After its original rollout plan was scrapped late last year, “The Banker,” a civil rights drama starring Samuel L. Jackson and Anthony Mackie, has a new life.","The film, starring Samuel L. Jackson and Anthony Mackie, was withdrawn after a producer, a son of one of its protagonists, was accused of sexual misconduct.",The New York Times,https://www.nytimes.com/2020/01/16/business/media/apple-banker-release-date.html
2020-01-14T23:37:00+0000,Apple Takes a (Cautious) Stand Against Opening a Killer’s iPhones,"The Silicon Valley giant is preparing for a legal fight over encryption, even as it works to reduce tensions with the Justice Department.","SAN FRANCISCO — Apple is privately preparing for a legal fight with the Justice Department to defend encryption on its iPhones while publicly trying to defuse the dispute, as the technology giant navigates an increasingly tricky line between its customers and the Trump administration.","The Silicon Valley giant is preparing for a legal fight over encryption, even as it works to reduce tensions with the Justice Department.",The New York Times,https://www.nytimes.com/2020/01/14/technology/apple-iphone-pensacola-shooting.html
2020-01-13T21:57:39+0000,Barr Accuses Apple of Giving No ‘Substantive Assistance’ in Pensacola Investigation,"Attorney General William P. Barr is pushing Apple to unlock the phones of the gunman behind a deadly shooting at a naval air station in Pensacola, Fla.","Attorney General William P. Barr is pushing Apple to unlock the phones of the gunman behind a deadly shooting at a naval air station in Pensacola, Fla.","Attorney General William P. Barr is pushing Apple to unlock the phones of the gunman behind a deadly shooting at a naval air station in Pensacola, Fla.",AP,https://www.nytimes.com/video/us/100000006918557/barr-apple.html
