Pub Date,Headline,Snippet,Lead Paragraph,abstract,Source,Web URL
2013-01-10T13:00:48+0000,"The 2012 Patent Rankings: IBM on Top (Again), Google and Apple Surging","The yearly count of corporate patent winners shows I.B.M. on top in 2012, for the 20th consecutive year. But the big movement in the rankings comes from two combatants in the smartphone patent wars, Google and Apple. Both companies had surge of pa..."," In the yearly count of patents granted in the United States, the corporate front-runner for 2012 is scarcely a surprise. ","The yearly count of corporate patent winners shows I.B.M. on top in 2012, for the 20th consecutive year. But the big movement in the rankings comes from two combatants in the smartphone patent wars, Google and Apple. Both companies had surge of patents granted last year.",The New York Times,https://bits.blogs.nytimes.com/2013/01/10/the-2012-patent-rankings-ibm-on-top-again-google-and-apple-surging/
2013-01-07T03:04:20+0000,Providing a Template to Challenge Apple,"MediaTek of Taiwan not only provides manufacturers with chips for their smartphones but also tells how to build and run them, cutting their costs as they compete with the iPhone.","TAIPEI — In the China smartphone market, Apple has seen better days.","MediaTek of Taiwan not only provides manufacturers with chips for their smartphones but also tells how to build and run them, cutting their costs as they compete with the iPhone.",The New York Times,https://www.nytimes.com/2013/01/07/technology/07iht-mediatek07.html
2013-01-09T21:16:18+0000,Q&A: Making the Mac Take Dictation,The built-in Dictation feature of OS X 10.8 for the Mac can convert your words into text.,Q.,The built-in Dictation feature of OS X 10.8 for the Mac can convert your words into text.,The New York Times,https://gadgetwise.blogs.nytimes.com/2013/01/09/qa-making-the-mac-take-dictation/
2013-01-04T23:00:23+0000,"Digital Connections Will Increase as a Selling Point, Study Says",The I.B.M. study shows that buyers will increasingly select their new cars based on the digital gadgetry they contain.,"AUTOMAKERS are racing to ramp up their digital offerings, linking in-dash systems to smartphones and services like traffic monitors faster than you can say Pandora. ",The I.B.M. study shows that buyers will increasingly select their new cars based on the digital gadgetry they contain.,The New York Times,https://www.nytimes.com/2013/01/06/automobiles/digital-will-increase-as-a-selling-point.html
2013-01-04T00:46:25+0000,Inquiry Into Tech Giants’ Tax Strategies Nears End,"Companies like Apple have drawn scrutiny because of their penchant for shifting profits overseas, resulting in low American tax bills.",Congressional investigators are wrapping up an inquiry into the accounting practices of Apple and other technology companies that allocate revenue and intellectual property offshore to lower the taxes they pay in the United States.,"Companies like Apple have drawn scrutiny because of their penchant for shifting profits overseas, resulting in low American tax bills.",The New York Times,https://www.nytimes.com/2013/01/04/business/an-inquiry-into-tech-giants-tax-strategies-nears-an-end.html
2013-01-03T11:19:11+0000,Tip of the Week: How to Control the Music in iTunes 11,"If the full iTunes 11 window takes up too much screen space, you can shrink it down and still control the music.",Apple’s recent overhaul of its iTunes music-management program for Windows and Mac computers gave the software a new look. The ability to shrink the full iTunes window down to a “miniplayer” (a small streamlined bar that shows the name of the current track and playback controls) survived the redesign and can still be summoned by pressing Control-Shift-M in the Windows version or Command-Option-M on a Mac. ,"If the full iTunes 11 window takes up too much screen space, you can shrink it down and still control the music.",The New York Times,https://gadgetwise.blogs.nytimes.com/2013/01/03/tip-of-the-week-how-to-control-the-music-in-itunes-11/
2013-01-02T18:55:25+0000,"The iPhone Goofs Up on Telling Time, Again","On the morning of New Year’s Day, many iPhone users were affected by a bug in the Do Not Disturb feature, a feature that Apple promoted in a commercial broadcast this week.",2:01 p.m. | Updated  Adding response from Apple.,"On the morning of New Year’s Day, many iPhone users were affected by a bug in the Do Not Disturb feature, a feature that Apple promoted in a commercial broadcast this week.",The New York Times,https://bits.blogs.nytimes.com/2013/01/02/iphone-do-not-disturb/
2013-01-01T06:37:06+0000,"As Taiwan’s Links With Mainland Grow, So Do Concerns",Fears are growing that the Chinese mainland is slowly engulfing democratic Taiwan through ever-deepening economic integration and purchases of the island republic’s free media by Taiwanese businessmen with large financial stakes in China.,"TAIPEI — The 188-second flurry of fireworks that shot out at midnight from Taipei 101, the world’s second-tallest building, drew a crowd of 800,000 and announced the start of 2013 on the island republic.",Fears are growing that the Chinese mainland is slowly engulfing democratic Taiwan through ever-deepening economic integration and purchases of the island republic’s free media by Taiwanese businessmen with large financial stakes in China.,The New York Times,https://rendezvous.blogs.nytimes.com/2013/01/01/as-taiwans-links-with-mainland-grow-so-do-concerns/
2013-01-08T21:49:49+0000,Lobster and Bison After Inauguration,Many items on the menu for the lunch after the presidential inaugural on Jan. 21 are from New York State.,"WITHOUT a single filibuster or even a cross word, the bipartisan Congressional committee responsible for the lunch after the presidential inaugural on Jan. 21 has agreed on a menu featuring sustainable, artisanal and local ingredients. And many are from New York State.",Many items on the menu for the lunch after the presidential inaugural on Jan. 21 are from New York State.,The New York Times,https://www.nytimes.com/2013/01/09/dining/lobster-bison-and-wine-at-lunch-after-inauguration.html
2013-01-05T01:37:12+0000,"On Google, F.T.C. Set Rules of War Over Patents","The end of smartphone patent lawsuits is by no means near, but legal experts say an F.T.C. settlement signals progress in clarifying the rules in high-tech patent battles, and thus could ease them.","The Federal Trade Commission’s antitrust investigation of Google focused mainly on the company’s lucrative search business, while its inquiry into the tech giant’s handling of patents seemed an afterthought.","The end of smartphone patent lawsuits is by no means near, but legal experts say an F.T.C. settlement signals progress in clarifying the rules in high-tech patent battles, and thus could ease them.",The New York Times,https://www.nytimes.com/2013/01/05/technology/in-google-patent-case-ftc-set-rules-of-engagement-for-battles.html
