Pub Date,Headline,Snippet,Lead Paragraph,abstract,Source,Web URL
2015-01-02T12:33:57+0000,A Day With Apple Pay,The success of Apple Pay will in part be determined lies in the hands of the people behind retailers’ counters. How are those people doing two months after the service was introduced?,"For years, payments industry insiders have been skeptical of the rise of the mobile wallet, a vision of the future where customers eschew wallets for credit cards stored on their smartphones.",The success of Apple Pay will in part be determined lies in the hands of the people behind retailers’ counters. How are those people doing two months after the service was introduced?,The New York Times,https://bits.blogs.nytimes.com/2015/01/02/a-day-with-apple-pay/
2015-01-05T14:03:03+0000,"What to Watch For in 2015: Galliano and Gucci, Elections and Apple",It’s time to take note of what lies at the top of the fashion agenda for 2015.,"It is officially the first full week of the new year, and you know what that means: time to take note of what to watch for in 2015. I think it’s going to be a doozy. Why? Well, here’s what I have at the top of my agenda:",It’s time to take note of what lies at the top of the fashion agenda for 2015.,The New York Times,https://runway.blogs.nytimes.com/2015/01/05/what-to-watch-for-in-2015-galliano-and-gucci-elections-and-apple/
2015-01-08T23:49:10+0000,Apple’s Cut From App Sales Reached $4.5 Billion in 2014,"Google’s app store is the largest in the world, but still makes far less money than the Apple App Store.","Apple continues to make billions of dollars from mobile apps sold in its App Store. The company said on Thursday that in 2014, billings from app sales rose 50 percent from the previous year, which results in roughly $15 billion in revenue for app developers and a $4.5 billion cut for Apple.","Google’s app store is the largest in the world, but still makes far less money than the Apple App Store.",The New York Times,https://bits.blogs.nytimes.com/2015/01/08/apples-cut-from-app-sales-reached-4-5-billion-in-2014/
2015-01-09T15:51:13+0000,Looking for the ‘Most Recent’ Facebook Posts,"Facebook eventually reverts to the “Top Stories” view of its news feed even if “Most Recent” is chosen, but there are ways around this.","Q. When I use Facebook on my computer, I want to see the most current posts in my news feed, and not the “Top Stories,” which always seem to be older. When I change the view to “Most Recent,” it always reverts back to “Top Stories” after a while. Why won’t it stay on “Most Recent”?","Facebook eventually reverts to the “Top Stories” view of its news feed even if “Most Recent” is chosen, but there are ways around this.",The New York Times,https://www.nytimes.com/2015/01/09/technology/personaltech/looking-for-the-most-recent-facebook-posts.html
2015-01-07T15:48:05+0000,"In a World of Phones, Gadgets Must Adapt ","With apps able to act as cameras, media players and so much more, the world of consumer electronics is in turmoil as smartphones supersede all other devices.","Technology fanatics descend every January on Las Vegas for the International CES, a colossal gathering of gadgetry and geekery where some of the world’s largest companies show off their best ideas for the future.","With apps able to act as cameras, media players and so much more, the world of consumer electronics is in turmoil as smartphones supersede all other devices.",The New York Times,https://www.nytimes.com/2015/01/08/technology/personaltech/why-gadgets-must-adapt-to-a-world-ruled-by-software.html
2015-01-02T17:09:23+0000,Sharing Flickr Photos Privately,"You can adjust your settings so that only certain people can see your images. Also, syncing files between Macs and PCs.",,"You can adjust your settings so that only certain people can see your images. Also, syncing files between Macs and PCs.",The New York Times,https://www.nytimes.com/2015/01/02/technology/personaltech/sharing-flickr-photos-privately.html
2015-01-09T00:00:00+0000,Amaranth Porridge With Grated Apples and Maple Syrup,,"Amaranth  is a tiny seed – it isn’t really a grain, though that is how we treat it – and has both sweet and grassy overtones. I experimented with preparing it as a polenta, like the teff polenta I made earlier in the week, and seasoning it with nut oil or mixing in a little Parmesan. It worked that way, but I still found that the flavor of this food works better with sweet flavors, and the texture did not benefit from the long oven simmer, the way the teff did. So again, I decided that amaranth is best served as a breakfast porridge. I toasted the seeds in the pan before adding water, and this added a wonderful popcorn dimension to the flavor. The aroma of this cereal as it cooked reminded me of the smell of the whole wheat Ralston Hot Cereal that my mother used to make for me. The amaranth will cook in about 20 minutes on top of the stove. I add milk halfway through the cooking, and the amaranth retains a nice grainy texture.",,,https://cooking.nytimes.com/recipes/1017125-amaranth-porridge-with-grated-apples-and-maple-syrup
2015-01-07T22:28:09+0000,"Careful, Eve. This One Is Crystal.",Martyn Lawrence Bullard designs crystal fit for Eden.,"In his first collection for Daum, the French crystal manufacturer, Martyn Lawrence Bullard put an artful twist on a Garden of Eden theme. The infamous apple assumes three forms: a paperweight ($675); a candleholder ($1,470) with a niche for an LED candle; and the centerpiece of a chandelier with pale green leaves and a gilded serpent (price upon request). All are made using the company’s technique of pâte de cristal, a modern refinement of pâte de verre, the ancient Egyptian glass-casting method, which results in the bold, saturated color evident in the ruby red of the apple. They will be introduced at the Maison et Objet home furnishings show in Paris on Jan. 23.",Martyn Lawrence Bullard designs crystal fit for Eden.,The New York Times,https://www.nytimes.com/2015/01/08/garden/martyn-lawrence-bullards-crystal-designs-for-daum.html
2015-01-07T00:00:00+0000,Beef Bone Broth,,"""Bone broth"" has become stylish as part of the Paleo diet, which enthusiastically recommends eating meat and bones. (The idea is to eat like our Paleolithic, pre-agricultural ancestors.) But cooks have known its wonderful qualities for centuries. This robust and savory beef broth — more than a stock, less than a soup — can be the basis for innumerable soups and stews, but it also makes a satisfying and nourishing snack on its own.",,,https://cooking.nytimes.com/recipes/1017117-beef-bone-broth
2015-01-06T00:00:00+0000,The Best Smart Thermostat,A smart thermostat automatically adjusts your heating and cooling systems to keep you comfortable and save you money. But these are not one-size-fits-all devices. The best model for someone who hopes to eke out every last BTU of efficiency and cos...,A smart thermostat automatically adjusts your heating and cooling systems to keep you comfortable and save you money. But these are not one-size-fits-all devices. The best model for someone who hopes to eke out every last BTU of efficiency and cost savings will be very different from a thermostat for someone who just wants everything...,A smart thermostat automatically adjusts your heating and cooling systems to keep you comfortable and save you money. But these are not one-size-fits-all devices. The best model for someone who hopes to eke out every last BTU of efficiency and cost savings will be very different from a thermostat for someone who just wants everything...,Wirecutter,https://www.nytimes.com/wirecutter/reviews/the-best-thermostat/
2015-01-14T22:43:12+0000,Video Feature: Getting the Most Out of Apple iOS 8,"The new operating system can help you monitor battery use better, help take better photos and make Siri easier to use.",EVERY new mobile operating system needs a little time to settle in. But now that Apple’s iOS 8 has been out about four months — long enough to fix some bugs in iOS 8.1 — we have had some time to get used to its new features.,"The new operating system can help you monitor battery use better, help take better photos and make Siri easier to use.",The New York Times,https://www.nytimes.com/2015/01/15/technology/personaltech/tips-to-get-the-most-out-of-apple-ios-8.html
2015-01-14T19:51:17+0000,Apple and Ericsson Sue Each Other Over Mobile Patents,The companies are asking courts for help after two years of negotiations and failing to reach an agreement.,Apple and Ericsson have sued each other in federal courts after reaching an impasse over mobile patents.,The companies are asking courts for help after two years of negotiations and failing to reach an agreement.,The New York Times,https://bits.blogs.nytimes.com/2015/01/14/apple-and-ericsson-sue-each-other-over-mobile-patents/
2015-01-16T22:01:13+0000,Cleaning Up the Mac’s Printers List,"Tidying lists after a printer upgrade, and how to excise recently watched movies from Netflix’s list.","Q. I recently got a new printer for my Mac, but I still see my previous printer (which I got rid of) listed in the options when I go to print. How do I get the old model out of the list?","Tidying lists after a printer upgrade, and how to excise recently watched movies from Netflix’s list.",The New York Times,https://www.nytimes.com/2015/01/16/technology/personaltech/cleaning-up-the-macs-printers-list.html
2015-01-14T22:40:39+0000,Use the iPhone’s iOS 8 Like a Pro,"You probably didn’t know about these five features hidden in the iPhone’s iOS 8 operating system. Use them, and you’ll be using your phone like a pro.","You probably didn’t know about these five features hidden in the iPhone’s iOS 8 operating system. Use them, and you’ll be using your phone like a pro.","You probably didn’t know about these five features hidden in the iPhone’s iOS 8 operating system. Use them, and you’ll be using your phone like a pro.",The New York Times,https://www.nytimes.com/video/technology/personaltech/100000003448481/use-the-iphones-ios8-like-a-pro.html
2015-01-15T04:01:15+0000,New York Attorney General Seeks Expanded Reports on Data Breaches,A planned bill would expand New York’s definition of what constitutes the type of private information whose breach would mandate a disclosure. It would cover email addresses and passwords.,"Across much of the United States, companies are not required to report a data breach if it is limited to the theft of email addresses and passwords, even though many companies do so of their own volition.",A planned bill would expand New York’s definition of what constitutes the type of private information whose breach would mandate a disclosure. It would cover email addresses and passwords.,The New York Times,https://dealbook.nytimes.com/2015/01/14/new-york-attorney-general-seeks-expanded-reporting-requirements-on-data-breaches/
2015-01-16T06:26:45+0000,"Press Freedom in Hong Kong Under Threat, Report Says",The report by the PEN American Center cites developments that it says amount to an alarming erosion of Hong Kong’s tradition of freewheeling news media.,"HONG KONG — Press freedom in Hong Kong, long an enclave of liberties in the shadow of mainland China, is increasingly threatened, with journalists assaulted, news organizations censoring stories and advertisers shunning publications that rile the authorities, a new report says.",The report by the PEN American Center cites developments that it says amount to an alarming erosion of Hong Kong’s tradition of freewheeling news media.,The New York Times,https://www.nytimes.com/2015/01/17/world/asia/press-freedom-in-hong-kong-under-threat-report-says.html
2015-01-14T12:14:14+0000,Daily Report: Tech Giants Said to Offer Bigger Settlement in Antitrust Case on Hiring,"Apple, Google, Intel and Adobe say a new deal has been struck to settle a lawsuit that asserts the companies had agreed not to directly solicit one another’s employees.","Silicon Valley companies have sweetened the pot to try to get rid of an embarrassing class-action antitrust suit that accuses them of conspiring against their own employees, David Streitfeld reports.","Apple, Google, Intel and Adobe say a new deal has been struck to settle a lawsuit that asserts the companies had agreed not to directly solicit one another’s employees.",The New York Times,https://bits.blogs.nytimes.com/2015/01/14/daily-report-tech-giants-said-to-offer-bigger-settlement-in-antitrust-case-on-hiring/
2015-01-14T11:48:18+0000,Bigger Settlement Said to Be Reached in Silicon Valley Antitrust Case,"Apple, Google, Intel and Adobe are said to be offering $415 million to settle accusations that they conspired against their own employees.",SAN FRANCISCO — One of Silicon Valley’s most embarrassing episodes might be finally drawing to a close.,"Apple, Google, Intel and Adobe are said to be offering $415 million to settle accusations that they conspired against their own employees.",The New York Times,https://www.nytimes.com/2015/01/15/technology/silicon-valley-antitrust-case-settlement-poaching-engineers.html
2015-01-12T06:16:08+0000,Firebombs Thrown at Jimmy Lai’s Home and Company in Hong Kong,"The headquarters of the Next Media Group and the home of its owner, Jimmy Lai, were targeted but suffered no significant property damage.",Security video of a firebomb thrown at Next Media offices Monday in Hong Kong.,"The headquarters of the Next Media Group and the home of its owner, Jimmy Lai, were targeted but suffered no significant property damage.",The New York Times,https://sinosphere.blogs.nytimes.com/2015/01/12/firebombs-thrown-at-jimmy-lais-home-and-company-in-hong-kong/
